OPPORTUNITY_NUMBER,OPPORTUNITY_TITLE,OPPORTUNITY_STATUS,POSTED_DATE,CLOSE_DATE,ARCHIVE_DATE,OPPORTUNITY_CATEGORY,FUNDING_CATEGORIES,AGENCY,OPPORTUNITY_URL,MATCHED_KEYWORDS,SUMMARY,FUNDING_DESCRIPTION
HR001126S0003,Biological Technologies,Posted,10/01/2025,09/30/2026,,,,,,research,The Defense Advanced Research Projects Agency (DARPA) Biological Technologies Office (BTO) is soliciting proposals that leverage biological properties and processes to revolutionize our ability to protect the nation’s warfighters. Specifically excluded is research that primarily results in evolutionary improvements to...,The Defense Advanced Research Projects Agency (DARPA) Biological Technologies Office (BTO) is soliciting proposals that leverage biological properties and processes to revolutionize our ability to protect the nation’s warfighters. Specifically excluded is research that primarily results in evolutionary improvements to the existing state of practice.
DE-FOA-0003600,FY 2026 Continuation of Solicitation for the Office of Science Financial Assistance Program,Posted,09/30/2025,09/30/2026,,,,,,research,"<p><span style=""color: windowtext;"">The Office of Science (SC) of the Department of Energy (DOE) hereby announces its continuing interest in receiving applications for support of work in the following program areas: Advanced Scientific Computing Research, Basic Energy Sciences, Biological and Environmental Research, Fu...","<p><span style=""color: windowtext;"">The Office of Science (SC) of the Department of Energy (DOE) hereby announces its continuing interest in receiving applications for support of work in the following program areas: Advanced Scientific Computing Research, Basic Energy Sciences, Biological and Environmental Research, Fusion Energy Sciences, High Energy Physics, Nuclear Physics, and Isotope R&amp;D and Production. On September 3, 1992, DOE published in the Federal Register the Office of Energy Research Financial Assistance Program (now called the Office of Science Financial Assistance Program), 10 CFR 605, as a Final Rule, which contained a solicitation for this program. Information about submission of applications, eligibility, limitations, evaluation and selection processes and other policies and procedures are specified in 10 CFR 605.</span></p>
<p><span style=""color: windowtext;"">&nbsp;</span></p>
<p><span style=""color: windowtext;"">This NOFO is our annual open solicitation that covers all research areas in SC and is open throughout the Fiscal Year. Any research within SC’s Congressionally authorized mission may be proposed under this NOFO.</span></p>
<p><span style=""color: windowtext;"">&nbsp;</span></p>
<p><span style=""color: windowtext;"">This NOFO will remain open until September 30, 2026, 11:59 PM Eastern Time, or until it is succeeded by another issuance, whichever occurs first. This NOFO succeeds DE-FOA-0003432, which was published September 30, 2024.</span></p>"
DARPARA2502,Young Faculty Award (YFA) 2026,Posted,09/30/2025,01/20/2026,,,,,,research,"The Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA) program aims to identify and engage rising stars in junior research positions in academia and equivalent positions at non-profit research institutions, particularly those without prior DARPA funding, to expose them to Department of Defense...","The Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA) program aims to identify and engage rising stars in junior research positions in academia and equivalent positions at non-profit research institutions, particularly those without prior DARPA funding, to expose them to Department of Defense (DoD) needs and DARPA’s mission to create and prevent technological surprise for national security. The YFA program will provide high-impact funding to researchers early in their careers to develop innovative new research that enables transformative DoD capabilities. Ultimately, the YFA program is developing the next generation of researchers focused on national security issues."
G25AS00353,Cooperative Agreement for affiliated Partner with the Great Lakes Northern Forests Cooperative Ecosystem Studies Unit (CESU),Posted,09/29/2025,10/30/2025,,,,,,research,"<p>The primary responsibility of the US Geological Survey (USGS) is to assist natural resource, land, and mineral managers by providing them with sound biological information and assistance in applying the information to their needs. The USGS Great Lakes Science Center (GLSC) has specific authorities under the Great La...","<p>The primary responsibility of the US Geological Survey (USGS) is to assist natural resource, land, and mineral managers by providing them with sound biological information and assistance in applying the information to their needs. The USGS Great Lakes Science Center (GLSC) has specific authorities under the Great Lakes Fisheries Research Authorization Act (H.R. 1865, Title II) to conduct fisheries research to ""...execute a comprehensive, multi-lake, freshwater fisheries science program..."" to support management decision making by parties to the Great Lakes Council of Lake Committees (CLC). Under this authority, GLSC works across the Great Lakes basin to carry out annual lake-wide surveys of prey fish abundances; answer discrete research questions about fish, limnology, and ecosystems; map habitats; and develop technological solutions to persistent or imperfect sampling problems. GLSC""s science products support the information needs of the Great Lakes Fisheries Commission, parties to the Great Lakes Water Quality Agreement, the Great Lakes Restoration Initiative, the International Joint Commission, and other regional and national partners. The work of GLSC is critical to maintaining the economic prosperity of Americans that rely on fisheries for revenue generation.Multiple Great Lakes fish stocks are in decline due to a combination of factors ranging from invasive species to habitat degradation. Lake whitefish is one such species. One impediment to healthy stocks of lake whitefish and similar species is degradation of habitats where they deposit their eggs and hatch their young. USGS is engaged in research to understand and hopefully alleviate impediments to fisheries productivity to help maintain American prosperity, which in the Great Lakes is supported by $7B in annual revenues from fisheries related industries.This funding opportunity is for a cooperator to assist with our understanding of how lake-bed habitats contribute to fisheries success. Specifically, a need exists to develop high-resolution maps of habitats that can be used to support ongoing studies of the role of habitat in fish production. The successful cooperator will use underwater images collected by USGS""s autonomous underwater vehicles (AUVs) to map habitats at the very high resolutions using photogrammetric techniques like Structure from Motion. USGS lacks expertise in underwater photogrammetry needed to convert their raw data into maps that can help understand fish hatching and rearing success. To fulfill their mandate to support Great Lakes fisheries managers, GLSC must bring their knowledge and datasets together with a cooperator with knowledge of the technologies and photogrammetry to pursue joint research objectives.</p>"
ED-GRANTS-092925-002,"Office of Elementary and Secondary Education (OESE): Office of Safe and Supportive Schools: Mental Health Service Professional (MHSP) Demonstration Grant Program, Assistance Listing Number 84.184X",Posted,09/29/2025,10/29/2025,,,,,,education,"<p>Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Please review the offici...","<p>Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information.</p>
<p><br></p>
<p>For the addresses for obtaining and submitting an application, please refer to our Common Instructions for Applicants to Department of Education Discretionary Grant Programs, published in the Federal Register on August 29, 2025&nbsp;(90 FR 42234), and available at https://www.federalregister.gov/documents/2025/08/29/2025-</p>
<p>16571/common-instructions-and-information-for-applicants-todepartment-of-education-discretionary-grantams.</p>
<p><br></p>
<p><em>Purpose of Program:</em> The MHSP program provides competitive grants to State educational agencies (SEAs, as defined in <a href=""https://www.govinfo.gov/link/uscode/20/7801"" target=""_blank"">20 U.S.C. 7801(49)</a>) and local educational agencies (LEAs, as defined in <a href=""https://www.govinfo.gov/link/uscode/20/7801"" target=""_blank"">20 U.S.C. 7801(30)</a>) to address the shortage of credentialed (as defined in the Notice of Final Priorities) school-based mental health services providers, specifically school psychologists, in high-need LEAs.</p>
<p><br></p>
<p><em>Assistance Listing Number:</em> 84.184X.</p>"
ED-GRANTS-092925-001,"Office of Elementary and Secondary Education (OESE): Office of Safe and Supportive Schools: School-Based Mental Health Services (SBMH) Grant Program, Assistance Listing Number (ALN) number 84.184H",Posted,09/29/2025,10/29/2025,,,,,,education,"<p>Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Please review the offici...","<p>Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information.</p>
<p><br></p>
<p>For the addresses for obtaining and submitting an application, please refer to our Common Instructions for Applicants to Department of Education Discretionary Grant&nbsp;Programs, published in the Federal Register on August 29, 2025&nbsp;(90 FR 42234), and available at https://www.federalregister.gov/documents/2025/08/29/2025-</p>
<p>16571/common-instructions-and-information-for-applicants-todepartment-of-education-discretionary-grantams.</p>
<p><br></p>
<p><em>Purpose of Program:</em> The SBMH program provides competitive grants to State educational agencies (SEAs)(as defined in <a href=""https://www.govinfo.gov/link/uscode/20/7801"" target=""_blank"">20 U.S.C. 7801(49)</a>), local educational agencies (LEAs) (as defined in <a href=""https://www.govinfo.gov/link/uscode/20/7801"" target=""_blank"">20 U.S.C. 7801(30)</a>), and consortia of LEAs to increase the number of credentialed school-based mental health services providers delivering mental health services to students in high-need LEAs.</p>
<p><br></p>
<p><em>Assistance Listing Number:</em> 84.184H.</p>"
PAR-25-449,Mind and Body Interventions to Restore Whole Person Health via Emotional Well-Being Mechanisms (R61/R33 Clinical Trial Required),Posted,09/26/2025,06/07/2028,,,,,,research,"The National Center for Complementary and Integrative Health (NCCIH) announces this Notice of Funding Opportunity (NOFO) to solicit applications for research on how mind and body interventions through psychological and/or physical inputs (e.g., mindfulness meditation, yoga, acupuncture, massage, and other brain and/or...","The National Center for Complementary and Integrative Health (NCCIH) announces this Notice of Funding Opportunity (NOFO) to solicit applications for research on how mind and body interventions through psychological and/or physical inputs (e.g., mindfulness meditation, yoga, acupuncture, massage, and other brain and/or body based interventions) impact mechanisms of emotional well-being (EWB) and their associations with whole person health (WPH), consistent with the NIH priority to address the health needs of the American people and improve their well-being.
The NOFO will support rigorous and well-powered mechanistic research studies that are supported by strong preliminary data.  The studies should examine the effects of mind and body interventions on innovative mechanisms of EWB (as the primary outcome), as well as the associated relationship with the Whole Person Health Index (WPHI, as a secondary outcome). To enhance research safety, rigor, and efficiency of NIH-funded mechanistic clinical trials, this initiative will use a two-phased award funding mechanism (R61/R33). The funding will support an initial phase (R61) to establish feasibility benchmarks for the proposed mechanistic clinical trial(s), followed by a second phase (R33) to complete the full-scale trials, which will be contingent upon successful completion of R61 milestones. Applications should provide preliminary data that are comparable in quality and quantity to those expected for an R01 proposal."
FR-6900-N-05,Resident Opportunity and Self-Sufficiency Service Coordinator (ROSS-SC) Program – Fiscal Year 2025,Posted,09/26/2025,12/02/2025,,,,,,education,"The Resident Opportunity and Self Sufficiency Service Coordinator (ROSS-SC) program is designed to assist residents of Public and Indian Housing make progress towards economic and housing self-sufficiency by addressing the educational, professional and health barriers they face. Self-sufficiency is defined as an indivi...","The Resident Opportunity and Self Sufficiency Service Coordinator (ROSS-SC) program is designed to assist residents of Public and Indian Housing make progress towards economic and housing self-sufficiency by addressing the educational, professional and health barriers they face.  Self-sufficiency is defined as an individual""s ability to support their household by maintaining financial, housing, and personal/family stability.  To achieve self-sufficiency, an individual moves along a continuum towards economic independence and stability; such movement is facilitated by the achievement of individual educational, professional, and health-related goals.To help residents make progress towards self-sufficiency, HUD provides ROSS-SC grant funding to eligible applicants to hire a Service Coordinator who assesses the needs of Public and Indian housing residents and links them to local training and supportive services that will enable participants to move along the self-sufficiency continuum.  In the case of elderly/residents with disabilities, the Service Coordinator also links them to congregate and other supportive services which enable them to age/remain in place in addition to providing other desired training and supportive services which are made available to other residents.  In addition, with the ROSS-SC grant, HUD provides funding for grantees to provide direct services to further support the work of the ROSS-SC and ultimately, the goals of the ROSS program."
DE-FOA-0003603,Notice of Intent to Issue DE-FOA-0003390,Posted,09/26/2025,11/05/2025,,,,,,technology,This is a Notice of Intent to Issue Notice of Funding Opportunity No. DE-FOA-0003390; titled Mine of the Future – Proving Ground Initiative. The goal of this work is to de-risk the adoption of new mining technologies for commercialization and widespread industry adoption. This will be achieved through 1. Development of...,"This is a Notice of Intent to Issue Notice of Funding Opportunity No. DE-FOA-0003390; titled Mine of the Future – Proving Ground Initiative. The goal of this work is to de-risk the adoption of new mining technologies for commercialization and widespread industry adoption. This will be achieved through 1. Development of Mine Technology Proving Grounds, 2. Accelerated R&D Projects, and 3. Collaborative Projects."
25-549,NSF National Innovation Corps Teams (NSF National I-Corps (TM) Teams) program,Posted,09/26/2025,,,,,,,research; education; innovation; technology,"<div class=""OutlineElement Ltr SCXW37288128 BCX8""> <p class=""Paragraph SCXW37288128 BCX8""><span class=""TextRun SCXW37288128 BCX8"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW37288128 BCX8"">The </span><span class=""NormalTextRun SCXW37288128 BCX8"">U.S. </span><span class=""NormalTextR...","<div class=""OutlineElement Ltr SCXW37288128 BCX8"">
<p class=""Paragraph SCXW37288128 BCX8""><span class=""TextRun SCXW37288128 BCX8"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW37288128 BCX8"">The </span><span class=""NormalTextRun SCXW37288128 BCX8"">U.S. </span><span class=""NormalTextRun SCXW37288128 BCX8"">National Science Foundation (NSF) </span><span class=""NormalTextRun SCXW37288128 BCX8"">continues to</span><span class=""NormalTextRun SCXW37288128 BCX8""> develop and nurture a national innovation ecosystem that guides the output of scientific discoveries closer to the development of technologies, products,</span><span class=""NormalTextRun SCXW37288128 BCX8""> processes,</span><span class=""NormalTextRun SCXW37288128 BCX8""> and services that benefit all</span><span class=""NormalTextRun SCXW37288128 BCX8"">Americans</span><span class=""NormalTextRun SCXW37288128 BCX8"">.</span><span class=""NormalTextRun SCXW37288128 BCX8""> The goals of the </span><span class=""NormalTextRun SCXW37288128 BCX8"">NSF </span><span class=""NormalTextRun SCXW37288128 BCX8"">I-Corps</span><span class=""NormalTextRun SCXW37288128 BCX8"">&trade;</span><span class=""NormalTextRun SCXW37288128 BCX8"">p</span><span class=""NormalTextRun SCXW37288128 BCX8"">rogram&#8239;are to&#8239;spur translation of </span><span class=""NormalTextRun SCXW37288128 BCX8"">foundational </span><span class=""NormalTextRun SCXW37288128 BCX8"">research to the marketplace, to encourage collaboration between academia and industry, and to train NSF-funded faculty, students and other researchers in innovation and entrepreneurship skills.</span></span><span class=""EOP SCXW37288128 BCX8"" data-ccp-props=""{""></span>

</div>
<div class=""OutlineElement Ltr SCXW37288128 BCX8"">
<p class=""Paragraph SCXW37288128 BCX8""><span class=""TextRun SCXW37288128 BCX8"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW37288128 BCX8"">The </span><span class=""NormalTextRun SCXW37288128 BCX8"">NSF </span><span class=""NormalTextRun SCXW37288128 BCX8"">National </span><span class=""NormalTextRun SCXW37288128 BCX8"">I-Corps program</span><span class=""NormalTextRun SCXW37288128 BCX8""></span><span class=""NormalTextRun SCXW37288128 BCX8"">utilizes</span><span class=""NormalTextRun SCXW37288128 BCX8""> experiential learning of customer and industry discovery, coupled with first-hand investigation of industrial processes, to quickly assess the translational potential of inventions.&#8239;The </span><span class=""NormalTextRun SCXW37288128 BCX8"">NSF </span><span class=""NormalTextRun SCXW37288128 BCX8"">National </span><span class=""NormalTextRun SCXW37288128 BCX8"">I-Corps program</span><span class=""NormalTextRun SCXW37288128 BCX8"">is designed to support the commercialization</span><span class=""NormalTextRun SCXW37288128 BCX8"">of ""deep technologies,&rdquo;&#8239;those revolving around </span><span class=""NormalTextRun SCXW37288128 BCX8"">foundational</span><span class=""NormalTextRun SCXW37288128 BCX8"">discoveries in science and engineering. The </span><span class=""NormalTextRun SCXW37288128 BCX8"">NSF </span><span class=""NormalTextRun SCXW37288128 BCX8"">National </span><span class=""NormalTextRun SCXW37288128 BCX8"">I-Corps program</span><span class=""NormalTextRun SCXW37288128 BCX8"">addresses the skill and knowledge gaps associated with the transformation of basic research into deep technology ventures (DTVs).</span></span><span class=""EOP SCXW37288128 BCX8"" data-ccp-props=""{""></span><span class=""EOP SCXW37288128 BCX8"" data-ccp-props=""{""></span>

</div>
<div class=""OutlineElement Ltr SCXW37288128 BCX8"">
<p class=""Paragraph SCXW37288128 BCX8""><span class=""TextRun SCXW37288128 BCX8"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW37288128 BCX8""><span data-teams=""true"">The purpose of the NSF National I-Corps Teams program is to provide NSF-funded researchers additional support in the form of entrepreneurial education, mentoring, and funding to accelerate the translation of knowledge derived from foundational research into emerging products, processes, and services that may attract subsequent third-party funding.</span></span><span class=""NormalTextRun SCXW37288128 BCX8"">The outcomes of </span><span class=""NormalTextRun SCXW37288128 BCX8"">NSF</span><span class=""NormalTextRun SCXW37288128 BCX8"">National </span><span class=""NormalTextRun SCXW37288128 BCX8"">I-Corps</span><span class=""NormalTextRun SCXW37288128 BCX8""> Teams' projects are threefold: 1) a decision on a clear path forward based on an assessment of the business model, 2) substantial first-hand evidence for or against product-market fit, with the identification of customer segments and corresponding value propositions, and 3) a narrative of a technology demonstration&#8239;for potential partners.</span></span><span class=""EOP SCXW37288128 BCX8"" data-ccp-props=""{""></span>

</div>"
